39, State-gov,77516, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,2174,0,40, United-States, <=50K
45, Private,386940, Bachelors,13, Divorced, Exec-managerial, Own-child, White, Male,0,1408,40, United-States, <=50K
30, Federal-gov,59951, collegeDO,10, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
22, State-gov,311512, collegeDO,10, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,15, United-States, <=50K
48, Private,242406, 11th,7, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, Puerto-Rico, <=50K
21, Private,197200, collegeDO,10, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
19, Private,544091, HS,9, Married-AF-spouse, Adm-clerical, Wife, White, Female,0,0,25, United-States, <=50K
31, Private,84154, collegeDO,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,38,NA, >50K
48, Self-emp-not-inc,265477, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
31, Private,507875, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,43, United-States, <=50K
53, Self-emp-not-inc,88506, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
24, Private,172987, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, United-States, <=50K
49, Private,94638, HS,9, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
25, Private,289980, HS,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,35, United-States, <=50K
57, Federal-gov,337895, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States, >50K
53, Private,144361, HS,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,38, United-States, <=50K
44, Private,128354, Masters,14, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
41, State-gov,101603, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
29, Private,271466, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,43, United-States, <=50K
25, Private,32275, collegeDO,10, Married-civ-spouse, Exec-managerial, Wife, Other, Female,0,0,40, United-States, <=50K
18, Private,226956, HS,9, Never-married, Other-service, Own-child, White, Female,0,0,30,NA, <=50K
47, Private,51835, Prof-school,15, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,1902,60, Honduras, >50K
50, Federal-gov,251585, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,55, United-States, >50K
47, Self-emp-inc,109832, HS,9, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, <=50K
43, Private,237993, collegeDO,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
46, Private,216666, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico, <=50K
35, Private,56352, Assoc-voc,11, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Puerto-Rico, <=50K
41, Private,147372, HS,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,48, United-States, <=50K
30, Private,188146, HS,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,5013,0,40, United-States, <=50K
30, Private,59496, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,2407,0,40, United-States, <=50K
32,NA,293936, 7th-8th,4, Married-spouse-absent,NA, Not-in-family, White, Male,0,0,40,NA, <=50K
48, Private,149640, HS,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
42, Private,116632, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
29, Private,105598, collegeDO,10, Divorced, Tech-support, Not-in-family, White, Male,0,0,58, United-States, <=50K
36, Private,155537, HS,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
28, Private,183175, collegeDO,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
53, Private,169846, HS,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, >50K
49, Self-emp-inc,191681, collegeDO,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
25,NA,200681, collegeDO,10, Never-married, NA, Own-child, White, Male,0,0,40, United-States, <=50K
19, Private,101509, collegeDO,10, Never-married, Prof-specialty, Own-child, White, Male,0,0,32, United-States, <=50K
31, Private,309974, Bachelors,13, Separated, Sales, Own-child, Black, Female,0,0,40, United-States, <=50K
29, Self-emp-not-inc,162298, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, United-States, >50K
23, Private,211678, collegeDO,10, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
79, Private,124744, collegeDO,10, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,0,0,20, United-States, <=50K
27, Private,213921, HS,9, Never-married, Other-service, Own-child, White, Male,0,0,40, Mexico, <=50K
40, Private,32214, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
67,NA,212759, 10th,6, Married-civ-spouse,NA, Husband, White, Male,0,0,2, United-States, <=50K
18, Private,309634, 11th,7, Never-married, Other-service, Own-child, White, Female,0,0,22, United-States, <=50K
31, Local-gov,125927, 7th-8th,4, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
18, Private,446839, HS,9, Never-married, Sales, Not-in-family, White, Male,0,0,30, United-States, <=50K
52, Private,276515, Bachelors,13, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Cuba, <=50K
46, Private,51618, HS,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
59, Private,159937, HS,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States, <=50K
44, Private,343591, HS,9, Divorced, Craft-repair, Not-in-family, White, Female,14344,0,40, United-States, >50K
53, Private,346253, HS,9, Divorced, Sales, Own-child, White, Female,0,0,35, United-States, <=50K
49, Local-gov,268234, HS,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
33, Private,202051, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
30, Private,54334, 9th,5, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
43, Federal-gov,410867, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, >50K
57, Private,249977, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
37, Private,286730, collegeDO,10, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
28, Private,212563, collegeDO,10, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,25, United-States, <=50K
30, Private,117747, HS,9, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female,0,1573,35,NA, <=50K
34, Local-gov,226296, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
29, Local-gov,115585, collegeDO,10, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,50, United-States, <=50K
48, Self-emp-not-inc,191277, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,60, United-States, >50K
37, Private,202683, collegeDO,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States, >50K
48, Private,171095, Assoc-acdm,12, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, England, <=50K
32, Federal-gov,249409, HS,9, Never-married, Other-service, Own-child, Black, Male,0,0,40, United-States, <=50K
76, Private,124191, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
44, Private,198282, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60, United-States, >50K
47, Self-emp-not-inc,149116, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
20, Private,188300, collegeDO,10, Never-married, Tech-support, Own-child, White, Female,0,0,40, United-States, <=50K
29, Private,103432, HS,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Self-emp-inc,317660, HS,9, Married-civ-spouse, Craft-repair, Husband, White, Male,7688,0,40, United-States, >50K
17,NA,304873, 10th,6, Never-married, NA, Own-child, White, Female,34095,0,32, United-States, <=50K
30, Private,194901, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
31, Local-gov,189265, HS,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
42, Private,124692, HS,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
24, Private,432376, Bachelors,13, Never-married, Sales, Other-relative, White, Male,0,0,40, United-States, <=50K
38, Private,65324, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
56, Self-emp-not-inc,335605, HS,9, Married-civ-spouse, Other-service, Husband, White, Male,0,1887,50, Canada, >50K
28, Private,377869, collegeDO,10, Married-civ-spouse, Sales, Wife, White, Female,4064,0,25, United-States, <=50K
36, Private,102864, HS,9, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States, <=50K
53, Private,95647, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States, <=50K
56, Self-emp-inc,303090, collegeDO,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
49, Local-gov,197371, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, >50K
55, Private,247552, collegeDO,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,56, United-States, <=50K
22, Private,102632, HS,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,41, United-States, <=50K
21, Private,199915, collegeDO,10, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
40, Private,118853, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
30, Private,77143, Bachelors,13, Never-married, Exec-managerial, Own-child, Black, Male,0,0,40, Germany, <=50K
29, State-gov,267989, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
19, Private,301606, collegeDO,10, Never-married, Other-service, Own-child, Black, Male,0,0,35, United-States, <=50K
47, Private,287828, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, >50K
20, Private,111697, collegeDO,10, Never-married, Adm-clerical, Own-child, White, Female,0,1719,28, United-States, <=50K
31, Private,114937, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, >50K
35, NA,129305, HS,9, Married-civ-spouse, NA, Husband, White, Male,0,0,40, United-States, <=50K
39, Private,365739, collegeDO,10, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
28, Private,69621, Assoc-acdm,12, Never-married, Sales, Not-in-family, White, Female,0,0,60, United-States, <=50K
24, Private,43323, HS,9, Never-married, Other-service, Not-in-family, White, Female,0,1762,40, United-States, <=50K
38, Self-emp-not-inc,120985, HS,9, Married-civ-spouse, Craft-repair, Husband, White, Male,4386,0,35, United-States, <=50K
37, Private,254202, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
46, Private,146195, Assoc-acdm,12, Divorced, Tech-support, Not-in-family, Black, Female,0,0,36, United-States, <=50K
38, Federal-gov,125933, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Iran, >50K
43, Self-emp-not-inc,56920, HS,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
27, Private,163127, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,35, United-States, <=50K
20, Private,34310, collegeDO,10, Never-married, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
49, Private,81973, collegeDO,10, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
61, Self-emp-inc,66614, HS,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
27, Private,232782, collegeDO,10, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
19, Private,316868, collegeDO,10, Never-married, Other-service, Own-child, White, Male,0,0,30, Mexico, <=50K
45, Private,196584, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Female,0,1564,40, United-States, >50K
70, Private,105376, collegeDO,10, Never-married, Tech-support, Other-relative, White, Male,0,0,40, United-States, <=50K
31, Private,185814, HS,9, Never-married, Transport-moving, Unmarried, Black, Female,0,0,30, United-States, <=50K
22, Private,175374, collegeDO,10, Married-civ-spouse, Other-service, Husband, White, Male,0,0,24, United-States, <=50K
36, Private,108293, HS,9, Widowed, Other-service, Unmarried, White, Female,0,0,24, United-States, <=50K
64, Private,181232, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,2179,40, United-States, <=50K
43, NA,174662, collegeDO,10, Divorced, NA, Not-in-family, White, Female,0,0,40, United-States, <=50K
47, Local-gov,186009, collegeDO,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,38, Mexico, <=50K
34, Private,198183, HS,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
33, Private,163003, Bachelors,13, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,0,0,40, Philippines, <=50K
21, Private,296158, HS,9, Never-married, Craft-repair, Own-child, White, Male,0,0,35, United-States, <=50K
52, NA,252903, HS,9, Divorced, NA, Not-in-family, White, Male,0,0,45, United-States, >50K
48, Private,187715, HS,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,46, United-States, <=50K
23, Private,214542, Bachelors,13, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
71, Self-emp-not-inc,494223, collegeDO,10, Separated, Sales, Unmarried, Black, Male,0,1816,2, United-States, <=50K
29, Private,191535, HS,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,60, United-States, <=50K
42, Private,228456, Bachelors,13, Separated, Other-service, Other-relative, Black, Male,0,0,50, United-States, <=50K
68, NA,38317, 1st-4th,2, Divorced, NA, Not-in-family, White, Female,0,0,20, United-States, <=50K
25, Private,252752, HS,9, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
44, Self-emp-inc,78374, Masters,14, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
28, Private,88419, HS,9, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, England, <=50K
45, Self-emp-not-inc,201080, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
36, Private,207157, collegeDO,10, Divorced, Other-service, Unmarried, White, Female,0,0,40, Mexico, <=50K
39, Federal-gov,235485, Assoc-acdm,12, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,42, United-States, <=50K
46, State-gov,102628, Masters,14, Widowed, Protective-serv, Unmarried, White, Male,0,0,40, United-States, <=50K
18, Private,25828, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,16, United-States, <=50K
66, Local-gov,54826, Assoc-voc,11, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,20, United-States, <=50K
27, Private,124953, HS,9, Never-married, Other-service, Not-in-family, White, Male,0,1980,40, United-States, <=50K
28, State-gov,175325, HS,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
51, Private,96062, collegeDO,10, Married-civ-spouse, Sales, Husband, White, Male,0,1977,40, United-States, >50K
27, Private,428030, Bachelors,13, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
28, State-gov,149624, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
27, Private,253814, HS,9, Married-spouse-absent, Sales, Unmarried, White, Female,0,0,25, United-States, <=50K
21, Private,312956, HS,9, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, United-States, <=50K
34, Private,483777, HS,9, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,40, United-States, <=50K
18, Private,183930, HS,9, Never-married, Other-service, Own-child, White, Male,0,0,12, United-States, <=50K
33, Private,37274, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,65, United-States, <=50K
44, Local-gov,181344, collegeDO,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,38, United-States, >50K
43, Private,114580, collegeDO,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
30, Private,633742, collegeDO,10, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,45, United-States, <=50K
40, Private,286370, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico, >50K
37, Federal-gov,29054, collegeDO,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,42, United-States, >50K
34, Private,304030, HS,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,40, United-States, <=50K
41, Self-emp-not-inc,143129, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
53, NA,135105, Bachelors,13, Divorced, NA, Not-in-family, White, Female,0,0,50, United-States, <=50K
31, Private,99928, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,50, United-States, <=50K
58, State-gov,109567, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,1, United-States, >50K
38, Private,155222, collegeDO,10, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,28, United-States, <=50K
24, Private,159567, collegeDO,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
41, Local-gov,523910, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
47, Private,120939, collegeDO,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, <=50K
41, Federal-gov,130760, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,24, United-States, <=50K
23, Private,197387, 5th-6th,3, Married-civ-spouse, Transport-moving, Other-relative, White, Male,0,0,40, Mexico, <=50K
36, Private,99374, collegeDO,10, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
40, Federal-gov,56795, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Female,14084,0,55, United-States, >50K
35, Private,138992, Masters,14, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,7298,0,40, United-States, >50K
24, Self-emp-not-inc,32921, HS,9, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
26, Private,397317, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,1876,40, United-States, <=50K
19, NA,170653, HS,9, Never-married, NA, Own-child, White, Male,0,0,40, Italy, <=50K
51, Private,259323, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
42, Local-gov,254817, collegeDO,10, Never-married, Prof-specialty, Not-in-family, White, Female,0,1340,40, United-States, <=50K
37, State-gov,48211, HS,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, <=50K
18, Private,140164, 11th,7, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
36, Private,128757, Bachelors,13, Married-civ-spouse, Other-service, Husband, Black, Male,7298,0,36, United-States, >50K
35, Private,36270, HS,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,60, United-States, <=50K
58, Self-emp-inc,210563, HS,9, Married-civ-spouse, Sales, Wife, White, Female,15024,0,35, United-States, >50K
17, Private,65368, 11th,7, Never-married, Sales, Own-child, White, Female,0,0,12, United-States, <=50K
44, Local-gov,160943, HS,9, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States, <=50K
37, Private,208358, HS,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
35, Private,153790, collegeDO,10, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
60, Private,85815, HS,9, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
54, Self-emp-inc,125417, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
37, Private,635913, Bachelors,13, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,60, United-States, >50K
50, Private,313321, Assoc-acdm,12, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
38, Private,182609, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Poland, <=50K
45, Private,109434, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,55, United-States, <=50K
25, Private,255004, 10th,6, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Private,197860, collegeDO,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
64, NA,187656, 1st-4th,2, Divorced, NA, Not-in-family, White, Male,0,0,40, United-States, <=50K
90, Private,51744, HS,9, Never-married, Other-service, Not-in-family, Black, Male,0,2206,40, United-States, <=50K
54, Private,176681, HS,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,20, United-States, <=50K
53, Local-gov,140359, Preschool,1, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,35, United-States, <=50K
18, Private,243313, HS,9, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
60, NA,24215, 10th,6, Divorced, NA, Not-in-family, Amer-Indian-Eskimo, Female,0,0,10, United-States, <=50K
66, Self-emp-not-inc,167687, HS,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,1409,0,50, United-States, <=50K
75, Private,314209, Assoc-voc,11, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,20, Columbia, <=50K
65, Private,176796, HS,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, Private,538583, 11th,7, Separated, Transport-moving, Not-in-family, Black, Male,3674,0,40, United-States, <=50K
41, Private,130408, HS,9, Divorced, Sales, Unmarried, Black, Female,0,0,38, United-States, <=50K
25, Private,159732, collegeDO,10, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,42, United-States, <=50K
33, Private,110978, collegeDO,10, Divorced, Craft-repair, Other-relative, Other, Female,0,0,40, United-States, <=50K
28, Private,76714, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,55, United-States, >50K
59, State-gov,268700, HS,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
40, State-gov,170525, collegeDO,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,38, United-States, <=50K
41, Private,180138, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Iran, >50K
38, Local-gov,115076, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States, >50K
23, Private,115458, HS,9, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
40, Private,347890, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
41, Self-emp-not-inc,196001, HS,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,20, United-States, <=50K
24, State-gov,273905, Assoc-acdm,12, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States, <=50K
20, NA,119156, collegeDO,10, Never-married, NA, Own-child, White, Male,0,0,20, United-States, <=50K
38, Private,179488, collegeDO,10, Divorced, Craft-repair, Not-in-family, White, Male,0,1741,40, United-States, <=50K
56, Private,203580, HS,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,35, NA, <=50K
58, Private,236596, HS,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,45, United-States, >50K
